Pick the role that best describes you,Where you are primarily based,Which wallet(s) you use most often,How long you have been actively involved with Ethereum,How often you interact with Ethereum,What you primarily use Ethereum for,"How confident you feel using wallets, signing, and using dapps",Which statements match your typical behavior,What does privacy mean to you?,Your main reasons for using privacy tools.,"Have you used any privacy tools (e.g. VPNs, encrypted email/messenger) before?","Have you used any onchain privacy tools (e.g. Tornado Cash, Railgun, Zcash) before?",How important transaction privacy is to you when using Ethereum,Your overall satisfaction with the current level of privacy available on Ethereum today,How confident you are what is private and what is not when using privacy on Ethereum,How confident you are that what is private will remain private in the future,Your trust in the tools or methods you use for privacy on Ethereum,Which factors most influence your trust in using privacy tools,Which in-app signals would help you feel more confident and safe,How often you use each category of privacy tools | Mixers or privacy pools,How often you use each category of privacy tools | Shielded pools or transactions,How often you use each category of privacy tools | Stealth or one-time addresses,How often you use each category of privacy tools | ZK identity or selective disclosure proofs,How often you use each category of privacy tools | Private or anonymous voting,How often you use each category of privacy tools | Private relayers or paymasters,How often you use each category of privacy tools | Private mempools or MEV-protected order flows,How often you use each category of privacy tools | Private L2/rollups focused on privacy,How often you use each category of privacy tools | Private read mode or custom/private RPCs,Which onchain privacy tools do you use most (be specific),How often you use other privacy tools | VPN,How often you use other privacy tools | Tor,How often you use other privacy tools | Encrypted messaging (e.g. Signal),How often you use other privacy tools | Password manager,How often you use other privacy tools | Hardware security key (e.g. YubiKey),How often you use other privacy tools | Private or hardened browser profile,How often you use other privacy tools | Ad/tracker blockers,How often you use other privacy tools | Email aliases or burner emails,How often you use other privacy tools | Encrypted storage,How often you use other privacy tools | Encrypted DNS,What stops you most from using privacy tools today,What stops you most from using privacy tools today,Have you ever abandoned a privacy app before using or finishing the flow?,"If yes, why?",What your biggest risks are when transacting on Ethereum,Which trade-offs are acceptable for you when using privacy features,Where you would expect to turn on privacy,"Do you prefer transparency by default with an option to go private, or privacy by default with an option to share",How important is it that your main wallet includes clear privacy controls,How likely are you to switch if another wallet offers clearly better privacy,Which of these would help you use privacy tools more,Which of these would help you use privacy tools more,"What’s one thing you’d change, fix, or add to increase adoption of privacy on Ethereum",What privacy use cases or projects are you most excited about?,Any other feedback you like to share
Marketing or Growth,Southeast Asia,"MetaMask,Coinbase wallet",1-2 years,Daily,"Finance, payments and transfers,DeFi, lending, swaps, or staking,Socials, Farcaster, Lens, etc.",Confident,"I review gas, nonce, and permissions before confirming,I simulate or dry run transactions before sending,I review token approvals and revoke them regularly,I use separate wallets for different activities or counterparties,I avoid linking social profiles to my active addresses",safety,"Personal safety and security,Prevent targeting, scams, or front-running",Yes,No,Important,Not at all satisfied,Somewhat confident,Somewhat confident,Some trust,"Referrals or endorsements from trusted people or orgs,Transparent team identity and track record,Strong security practices: active bug bounties, and policies","Transaction preview or simulation before sending,Linked audits or a security page,Trusted badge or reputation labels",Never,Monthly,Never,Never,Rarely,Never,Monthly,Never,Never,Cowswap DEX protection against mev,Daily,Never,Monthly,Daily,Never,Never,Never,Never,Never,Never,"Complex or hard to use,My activity does not feel sensitive enough,Other",Unsure of all the best ways to protect my privacy.,Rarely,Unclear what it would do,"Losing funds or access,Targeted attacks, scams, or phishing,Contract exploits or protocol hacks","Wait up to a few minutes longer,Signing multiple transactions,Using a separate wallet or account",On Ethereum itself,"Private by default, option to share",Very important,Very likely,"Private send in wallets,Encrypted mempools or private order flow,Verifiable in-App privacy labels, audits, and reputation badges",,"Greater protection against scams, risk to funds getting stolen.",,
Ethereum user,East Asia,"MetaMask,Rabby",3-5 years,Daily,"Finance, payments and transfers,Socials, Farcaster, Lens, etc.,Gaming",Somewhat confident,None of the above,fundamental rights,"Avoid censorship and keep freedom to transact,Avoid social judgment or harassment,Meet local policies or regulations",Yes,Yes,Very important,Not at all satisfied,Somewhat confident,Somewhat confident,Some trust,"Clear website and language that explains what it does,Clear docs on how it works, architecture, and trade-offs,Strong security practices: active bug bounties, and policies","Clear instructions and confirmation prompts,Simple explanation of risks, leaks and trade-offs",Never,Never,Rarely,Never,Never,Never,Never,Monthly,Never,Aztec,Daily,Never,Never,Never,Never,Never,Never,Never,Never,Never,"Regulatory or policy uncertainty,Hard to verify what is private",,Rarely,Unclear what the benefits were,"Losing funds or access,Targeted attacks, scams, or phishing,Government or big-tech surveillance and misuse of data","Wait up to a few minutes longer,2–3 extra confirmations or screens",In my wallet,"Private by default, option to share",Very important,Very likely,"Private identity and attestations,Privacy-preserving RPC and network routing",,Think about when I need privacy and when I don’t.,INTMAX,
Developer,Europe,"MetaMask,Gnosis Safe",6-8 years,Daily,"Finance, payments and transfers,DeFi, lending, swaps, or staking,Work, salary or payroll",Very confident,"I rely on wallet security alerts and blocklists,I review gas, nonce, and permissions before confirming,I simulate or dry run transactions before sending,I use separate wallets for different activities or counterparties,I avoid linking social profiles to my active addresses,I use a hardware wallet as my primary signer,I use social recovery or a recovery setup I trust,I use a multisig or smart account","Saftey to do what I want, with no judgement or repercussions. Not just from a leagal perspective, but mostly social.","Personal safety and security,Avoid profiling, doxxing, or unwanted linking,Avoid social judgment or harassment",Yes,No,Very important,Not at all satisfied,Confident,Confident,Some trust,"Clear docs on how it works, architecture, and trade-offs,Open-source code,Verifiable releases and contracts, reproducible builds, and clear changelogs","Transaction preview or simulation before sending,Linked verified contracts and release notes",Never,Never,Never,Rarely,Never,Never,Monthly,Never,Weekly,none,Weekly,Never,Daily,Daily,Daily,Daily,Daily,Weekly,Rarely,Daily,"Regulatory or policy uncertainty,Too few people use it, so privacy feels weak,Hard to verify what is private",,Often,"Unclear what it would do,Unclear what the benefits were,Unsure the tool was safe or trustworthy","Losing funds or access,Deanonymization later by chain analysis,Government or big-tech surveillance and misuse of data","Pay up to ~5% more in fees,Wait up to a few minutes longer,2–3 extra confirmations or screens","I do not care where, I just want it to work","Private by default, option to share",Very important,Very likely,"Private send in wallets,Private identity and attestations,Selective disclosure proofs",,"make it default, most people don't know to care",aztec,
Ethereum user,North America,Coinbase wallet,9+ years,Rarely,"Donations, charities and public goods,Other",Not at all confident,I rely on wallet security alerts and blocklists,Control of my own narrative. The only information available is what I provide.,"Personal safety and security,Keep balances, income, or holdings confidential,Avoid profiling, doxxing, or unwanted linking",Yes,No,Very important,Not at all satisfied,Somewhat confident,Not at all confident,Some trust,"Widely used in production and time-tested,Open-source code,Independent audits","Simple explanation of risks, leaks and trade-offs,Transaction preview or simulation before sending,Proofs or logs you can copy or share if you need to prove something later",Never,Never,Never,Never,Never,Never,Never,Never,Never,I'm terrified I'll screw something up and lose all my Eth,Rarely,Never,Weekly,Daily,Never,Daily,Daily,Daily,Never,Never,"Complex or hard to use,Missing in my wallet or favorite dapps",,Never,,"Losing funds or access,Deanonymization later by chain analysis,Government or big-tech surveillance and misuse of data","Wait up to a few minutes longer,2–3 extra confirmations or screens,Withdrawal delays up to 1 day","I do not care where, I just want it to work","Private by default, option to share",Very important,Very likely,"Private send in wallets,Private stablecoins,Private identity and attestations",,Clear work flow on how to use Alchemix privately to borrow against Eth/stables,Aztec future Eth. Privacy by default as a paradigm.,Thanks for making the world safer!
Ethereum user,East Asia,"MetaMask,Phantom",1-2 years,Weekly,"Finance, payments and transfers,DeFi, lending, swaps, or staking",Somewhat confident,"I rely on wallet security alerts and blocklists,I review gas, nonce, and permissions before confirming,I decode and read what I am signing,I review token approvals and revoke them regularly,I use separate wallets for different activities or counterparties,I avoid linking social profiles to my active addresses,I use a hardware wallet as my primary signer,I rotate addresses or refresh accounts periodically",no one know me,"Personal safety and security,Avoid censorship and keep freedom to transact,Meet local policies or regulations",Yes,Yes,Very important,Somewhat satisfied,Confident,Confident,Trust,"Clear docs on how it works, architecture, and trade-offs,Widely used in production and time-tested,Open-source code","Simple explanation of risks, leaks and trade-offs,Transaction preview or simulation before sending",Daily,Monthly,Rarely,Never,Never,Rarely,Never,Monthly,Never,Railgun,Daily,Rarely,Daily,Daily,Daily,Weekly,Rarely,Daily,Monthly,Rarely,"High gas or transaction costs,Doesn’t work the same across apps or chains",,Sometimes,"Unclear what it would do,Fees or deposits required up front","Losing funds or access,Government or big-tech surveillance and misuse of data","Wait up to a few minutes longer,Withdrawal delays up to 1 day,Lower compatibility with some dapps or tools",Inside the app I am using,"Public by default, option to go private",Very important,Likely,"Private stablecoins,Private messaging,Privacy risk and monitoring dashboards",,The cost of privacy is too high,,
Ethereum user,Europe,"MetaMask,Rabby",3-5 years,Monthly,"Finance, payments and transfers,DeFi, lending, swaps, or staking",Confident,I review token approvals and revoke them regularly,,"Personal safety and security,Avoid profiling, doxxing, or unwanted linking,Avoid social judgment or harassment",Yes,Yes,Very important,Somewhat satisfied,Somewhat confident,Somewhat confident,Some trust,"Clear website and language that explains what it does,Logical in-app UX with info and context",Clear instructions and confirmation prompts,Never,Rarely,Rarely,Rarely,Weekly,Rarely,Weekly,Weekly,Weekly,tonardo cash before ,Daily,Weekly,Daily,Daily,Daily,Daily,Daily,Rarely,Rarely,Rarely,"Complex or hard to use,High gas or transaction costs,Regulatory or policy uncertainty",,Often,Took too long or got stuck,"Losing funds or access,Targeted attacks, scams, or phishing,Social or reputation risk",2–3 extra confirmations or screens,In my wallet,"Public by default, option to go private",Important,Likely,"Private send in wallets,Private stablecoins,Private identity and attestations",,"privacy send, I don't want people to judge my trading history and transaction history ",privacy send,/
Ethereum user,Europe,"MetaMask,Rabby",3-5 years,Monthly,"Finance, payments and transfers,DeFi, lending, swaps, or staking",Confident,I review token approvals and revoke them regularly,,"Personal safety and security,Avoid profiling, doxxing, or unwanted linking,Avoid social judgment or harassment",Yes,Yes,Very important,Somewhat satisfied,Somewhat confident,Somewhat confident,Some trust,"Clear website and language that explains what it does,Logical in-app UX with info and context",Clear instructions and confirmation prompts,Never,Rarely,Rarely,Rarely,Weekly,Rarely,Weekly,Weekly,Weekly,tonardo cash before ,Daily,Weekly,Daily,Daily,Daily,Daily,Daily,Rarely,Rarely,Rarely,"Complex or hard to use,High gas or transaction costs,Regulatory or policy uncertainty",,Often,Took too long or got stuck,"Losing funds or access,Targeted attacks, scams, or phishing,Social or reputation risk",2–3 extra confirmations or screens,In my wallet,"Public by default, option to go private",Important,Likely,"Private send in wallets,Private stablecoins,Private identity and attestations",,"privacy send, I don't want people to judge my trading history and transaction history ",privacy send,/
Legal,South America,"MetaMask,Phantom,OKX wallet",3-5 years,Monthly,"Finance, payments and transfers,DeFi, lending, swaps, or staking",Confident,"I rely on wallet security alerts and blocklists,I review gas, nonce, and permissions before confirming,I use a multisig or smart account",,"Personal safety and security,Keep balances, income, or holdings confidential,Avoid profiling, doxxing, or unwanted linking",Yes,No,Very important,Somewhat satisfied,Somewhat confident,Somewhat confident,Trust,"Transparent team identity and track record,Open-source code,Independent audits","Linked audits or a security page,Linked verified contracts and release notes,Proofs or logs you can copy or share if you need to prove something later",Never,Monthly,Never,Never,Never,Never,Never,Never,Never,VPN ,Daily,,Rarely,Weekly,Weekly,Weekly,Weekly,,Weekly,,"Complex or hard to use,Regulatory or policy uncertainty,Hard to verify what is private",,Never,,"Deanonymization later by chain analysis,Metadata leakage (IP, RPC, browser, mempool),Legal or policy issues","Wait up to a few minutes longer,2–3 extra confirmations or screens,Lower compatibility with some dapps or tools","I do not care where, I just want it to work","Private by default, option to share",Very important,Very likely,"Private identity and attestations,Privacy-preserving RPC and network routing,Verifiable in-App privacy labels, audits, and reputation badges",,Untraceable tx ,Monero or similar ,"Privacy is freedom, control isn’t "
Ethereum user,East Asia,"MetaMask,Phantom,OKX wallet",6-8 years,Daily,"Finance, payments and transfers,DeFi, lending, swaps, or staking,Identity, like ENS, Passports, etc.",Not at all confident,"I rely on wallet security alerts and blocklists,I review gas, nonce, and permissions before confirming,I decode and read what I am signing,I use separate wallets for different activities or counterparties",Privacy is extremely important. I don't want anyone to know of my existence.,"Keep balances, income, or holdings confidential,Avoid profiling, doxxing, or unwanted linking,Avoid social judgment or harassment",Yes,No,Very important,Not at all satisfied,Not at all confident,Confident,Some trust,"Clear docs on how it works, architecture, and trade-offs,Referrals or endorsements from trusted people or orgs,Strong security practices: active bug bounties, and policies","Onboarding with in-app documentation and tips,Transaction preview or simulation before sending,Proofs or logs you can copy or share if you need to prove something later",Rarely,Never,Rarely,Rarely,Rarely,Rarely,Monthly,Monthly,Rarely,None,Daily,Never,Monthly,Weekly,Never,Weekly,Rarely,Never,Weekly,Rarely,"Missing in my wallet or favorite dapps,Security concerns,I want onchain reputation or eligibility (airdrops, social graph)",,Rarely,"Unclear what the benefits were,Fees or deposits required up front,Needed new wallet/account or setup I didn’t want","Targeted attacks, scams, or phishing,Deanonymization later by chain analysis,Tools breaking, being blocked, or delisted","Wait up to a few minutes longer,2–3 extra confirmations or screens,Switching to a different network or L2",In my network or connection settings,"Private by default, option to share",Very important,Very likely,"Private identity and attestations,Private messaging,Private L2s focused on privacy",,YES,None,None
Developer,South America,"MetaMask,Gnosis Safe",6-8 years,Daily,"DeFi, lending, swaps, or staking,Identity, like ENS, Passports, etc.,Running nodes or infrastructure",Very confident,"I review gas, nonce, and permissions before confirming,I decode and read what I am signing,I simulate or dry run transactions before sending,I use a hardware wallet as my primary signer,I connect through my own node or a custom RPC,I use a multisig or smart account",Interacting with other without revealing/leaking PII,"Keep balances, income, or holdings confidential,Avoid censorship and keep freedom to transact,Reduce data trails across apps and services",Yes,Yes,Important,Satisfied,Somewhat confident,Somewhat confident,Some trust,"Clear docs on how it works, architecture, and trade-offs,Open-source code,Strong security practices: active bug bounties, and policies","Onboarding with in-app documentation and tips,Linked verified contracts and release notes,Proofs or logs you can copy or share if you need to prove something later",Monthly,Rarely,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Railgun for sending funds privately to a CEX address before cashing out. zkPassport for private KYC verification ,Rarely,Rarely,Monthly,Never,Never,Never,Never,Never,Monthly,Never,High gas or transaction costs,,Rarely,Took too long or got stuck,"Targeted attacks, scams, or phishing,Deanonymization later by chain analysis,Government or big-tech surveillance and misuse of data","Wait up to a few minutes longer,2–3 extra confirmations or screens,Using a separate wallet or account",On Ethereum itself,"Private by default, option to share",Very important,Very likely,"Private send in wallets,Privacy-preserving RPC and network routing,Privacy risk and monitoring dashboards",,Enshrine private at the infra level,"Private smart contracts, A2A private communication, Privacy wallets by default",
Ethereum user,Europe,"MetaMask,Argent,Gnosis Safe",9+ years,Daily,"Finance, payments and transfers,DeFi, lending, swaps, or staking,Identity, like ENS, Passports, etc.",Very confident,"I rely on wallet security alerts and blocklists,I review gas, nonce, and permissions before confirming,I review token approvals and revoke them regularly,I use separate wallets for different activities or counterparties,I avoid linking social profiles to my active addresses,I rotate addresses or refresh accounts periodically,I use a multisig or smart account",Freedom of not be controlled by government ,"Personal safety and security,Keep balances, income, or holdings confidential,Avoid censorship and keep freedom to transact",Yes,No,Important,Somewhat satisfied,Somewhat confident,Somewhat confident,Some trust,"Clear website and language that explains what it does,Open-source code,Independent audits","Clear instructions and confirmation prompts,Simple explanation of risks, leaks and trade-offs,Linked verified contracts and release notes",Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Weekly,Fluidkey ,Daily,,Monthly,Daily,Daily,,Daily,,,,"Complex or hard to use,Missing in my wallet or favorite dapps,Security concerns",,Sometimes,"Too many steps or signatures,Unclear what it would do,Unsure the tool was safe or trustworthy","Metadata leakage (IP, RPC, browser, mempool),Government or big-tech surveillance and misuse of data,Permanent onchain records that cannot be undone","Pay up to ~5% more in fees,2–3 extra confirmations or screens,Using a separate wallet or account",On Ethereum itself,"Private by default, option to share",Important,Likely,"Private send in wallets,Privacy-preserving RPC and network routing,Verifiable in-App privacy labels, audits, and reputation badges",,More private options directly in wallets & apps,Fluidkey ,
Ethereum user,Europe,"MetaMask,Gnosis Safe",9+ years,Monthly,"Finance, payments and transfers,DeFi, lending, swaps, or staking",Somewhat confident,"I review gas, nonce, and permissions before confirming,I review token approvals and revoke them regularly,I use separate wallets for different activities or counterparties,I avoid linking social profiles to my active addresses,I use a hardware wallet as my primary signer,I rotate addresses or refresh accounts periodically,I use a multisig or smart account",-,Personal safety and security,Yes,Yes,Important,Somewhat satisfied,Somewhat confident,Somewhat confident,Some trust,"Clear website and language that explains what it does,Logical in-app UX with info and context",,Never,Never,Never,Never,Never,Never,Never,Never,Never,,,,,,,,,,,,Complex or hard to use,,,,,,,,,,"Private send in wallets,Private identity and attestations",,UX,,
Ethereum user,Europe,"MetaMask,Rabby,Other",3-5 years,Daily,"DeFi, lending, swaps, or staking,Socials, Farcaster, Lens, etc.,Running nodes or infrastructure",Confident,"I review gas, nonce, and permissions before confirming,I use separate wallets for different activities or counterparties,I avoid linking social profiles to my active addresses,I use a hardware wallet as my primary signer",Safety,"Personal safety and security,Avoid profiling, doxxing, or unwanted linking,Prevent targeting, scams, or front-running",Yes,No,Very important,Not at all satisfied,Not at all confident,Not at all confident,Some trust,"Logical in-app UX with info and context,Referrals or endorsements from trusted people or orgs,Verifiable releases and contracts, reproducible builds, and clear changelogs","Clear instructions and confirmation prompts,Simple explanation of risks, leaks and trade-offs,Transaction preview or simulation before sending",Rarely,Never,Rarely,Never,Rarely,Never,Never,Never,Rarely,Fileverse,Monthly,Monthly,Daily,Daily,Daily,Weekly,Daily,Daily,Rarely,Never,"Complex or hard to use,Missing in my wallet or favorite dapps,I want onchain reputation or eligibility (airdrops, social graph)",,Never,,"Losing funds or access,Targeted attacks, scams, or phishing,Permanent onchain records that cannot be undone","Wait up to a few minutes longer,Using a separate wallet or account,Fixed deposit/withdrawal sizes",In my network or connection settings,"Private by default, option to share",Very important,Very likely,"Private identity and attestations,Privacy-preserving RPC and network routing,Verifiable in-App privacy labels, audits, and reputation badges",,EF actively using the tools and leading by example,Fileverse,Thanks for doing this
Developer,Europe,"Rainbow,Gnosis Safe,Other",3-5 years,Daily,"Finance, payments and transfers,Socials, Farcaster, Lens, etc.,Other",Very confident,"I avoid linking social profiles to my active addresses,I rotate addresses or refresh accounts periodically,I use a multisig or smart account",Choosing what to hide and what to reveal,"Personal safety and security,Avoid profiling, doxxing, or unwanted linking,Business confidentiality for vendors, payroll, or partners",Yes,Yes,Very important,Somewhat satisfied,Very confident,Not at all confident,Some trust,"Clear docs on how it works, architecture, and trade-offs,Open-source code,Verifiable releases and contracts, reproducible builds, and clear changelogs","Transaction preview or simulation before sending,Linked verified contracts and release notes,Trusted badge or reputation labels",Never,Never,Weekly,Never,Never,Never,Monthly,Never,Never,FluidKey,Daily,Rarely,Daily,Daily,Never,Never,Daily,Daily,Never,Never,"Complex or hard to use,Missing in my wallet or favorite dapps,Doesn’t work the same across apps or chains",,Sometimes,"Too many steps or signatures,Unclear what it would do,Took too long or got stuck","Physical targeting or extortion risk,Deanonymization later by chain analysis,Permanent onchain records that cannot be undone","Wait up to a few minutes longer,Signing multiple transactions,Using a separate wallet or account",In my wallet,"Private by default, option to share",Very important,Likely,"Private send in wallets,Privacy-preserving RPC and network routing,Encrypted mempools or private order flow",,Delete WalletConnect,"FluidKey, RAILGUN, Aztec",
Developer,Europe,MetaMask,6-8 years,Weekly,"Finance, payments and transfers,Socials, Farcaster, Lens, etc.,DAOs and governance",Confident,"I rely on wallet security alerts and blocklists,I review gas, nonce, and permissions before confirming,I decode and read what I am signing",,"Personal safety and security,Keep balances, income, or holdings confidential,Donate or support causes without exposure",Yes,Yes,Important,Somewhat satisfied,Somewhat confident,Not at all confident,Some trust,"Logical in-app UX with info and context,Open-source code,Verified listings or badges on reputable directories","Onboarding with in-app documentation and tips,Integrated test networks,Linked verified contracts and release notes",Weekly,Weekly,Weekly,Daily,Monthly,Monthly,Weekly,Weekly,Weekly,"Use nodes via tor and recent I been starting to use shield.markets the Kusama shield, I also used the private voting with maci ",Weekly,Daily,Daily,Daily,Weekly,Daily,Weekly,Daily,Weekly,Weekly,"Complex or hard to use,High gas or transaction costs,Doesn’t work the same across apps or chains",,Sometimes,Fees or deposits required up front,"Losing funds or access,Deanonymization later by chain analysis,Government or big-tech surveillance and misuse of data","Wait up to a few minutes longer,Switching to a different network or L2,Fixed deposit/withdrawal sizes",Inside the app I am using,"Private by default, option to share",Very important,Very likely,"Private send in wallets,Private stablecoins,Private identity and attestations",,"Make privacy cheap and easy to use, shout out Kusama shield, also apps that make privacy Permissionless ",Privacy beyond defi so private web3 interactions,"Keep it going, push more products"
Developer,Europe,"Rabby,Argent,Other",3-5 years,Weekly,"Finance, payments and transfers,DeFi, lending, swaps, or staking,Running nodes or infrastructure",Confident,"I rely on wallet security alerts and blocklists,I use separate wallets for different activities or counterparties,I use a hardware wallet as my primary signer",,"Personal safety and security,Keep balances, income, or holdings confidential,Avoid profiling, doxxing, or unwanted linking",Yes,Yes,Somewhat important,Not at all satisfied,Not at all confident,Not at all confident,Some trust,"Referrals or endorsements from trusted people or orgs,Widely used in production and time-tested,Open-source code","Clear instructions and confirmation prompts,Onboarding with in-app documentation and tips,Transaction preview or simulation before sending",Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,,Weekly,Monthly,Daily,Daily,Daily,Weekly,Daily,Rarely,Weekly,,"Complex or hard to use,High gas or transaction costs,I want onchain reputation or eligibility (airdrops, social graph)",,Sometimes,"Unclear what the benefits were,Unsure the tool was safe or trustworthy","Losing funds or access,Deanonymization later by chain analysis,Contract exploits or protocol hacks","Pay up to ~5% more in fees,Wait up to a few minutes longer,2–3 extra confirmations or screens","I do not care where, I just want it to work","Private by default, option to share",Important,Very likely,"Private send in wallets,Encrypted mempools or private order flow,Verifiable in-App privacy labels, audits, and reputation badges",,privacy at the protocol layer,private transfers,
Marketing or Growth,South Asia,Rainbow,3-5 years,Weekly,"Finance, payments and transfers",Somewhat confident,I review token approvals and revoke them regularly,Privacy is normal.,"Keep balances, income, or holdings confidential",Yes,Yes,Very important,Somewhat satisfied,Somewhat confident,Somewhat confident,Some trust,"Clear docs on how it works, architecture, and trade-offs","Simple explanation of risks, leaks and trade-offs",Rarely,Rarely,Monthly,Weekly,Rarely,Rarely,Rarely,Rarely,Never,Stabletrust by Fairblock,Weekly,Never,Rarely,Daily,Never,Daily,Weekly,Never,Never,Never,"Complex or hard to use,Regulatory or policy uncertainty",,Sometimes,Unclear what it would do,"Targeted attacks, scams, or phishing,Government or big-tech surveillance and misuse of data","Wait up to a few minutes longer,2–3 extra confirmations or screens","I do not care where, I just want it to work","Private by default, option to share",Very important,Very likely,"Private stablecoins,Private governance and voting,Encrypted mempools or private order flow",,"Making it more easy to use, Compliance friendly, not isolated chain it should be opt in","Fairblock, 0xbow, Aztec",
Business or Operations,Europe,"Rabby,Zerion,Other",3-5 years,Daily,"DeFi, lending, swaps, or staking,DAOs and governance,Donations, charities and public goods",Confident,"I rely on wallet security alerts and blocklists,I review gas, nonce, and permissions before confirming,I review token approvals and revoke them regularly,I use separate wallets for different activities or counterparties,I use a multisig or smart account",ability to to decide over which information I decide to share publicly,"Personal safety and security,Keep work and personal activity separate,Reduce data trails across apps and services",Yes,Yes,Important,Somewhat satisfied,Somewhat confident,Somewhat confident,Some trust,"Clear docs on how it works, architecture, and trade-offs,Referrals or endorsements from trusted people or orgs,Independent audits","Clear instructions and confirmation prompts,Simple explanation of risks, leaks and trade-offs,Transaction preview or simulation before sending",Monthly,Monthly,Daily,Rarely,Rarely,Rarely,Monthly,Rarely,Rarely,"Railgun, Fluidkey, Worm (testnet), CowSwap",Daily,Monthly,Daily,Daily,Monthly,Daily,Daily,Weekly,Rarely,Rarely,"Complex or hard to use,Missing in my wallet or favorite dapps,Social stigma or reputation risk",,Sometimes,"Unclear what it would do,Unsure the tool was safe or trustworthy,Took too long or got stuck","Deanonymization later by chain analysis,Metadata leakage (IP, RPC, browser, mempool),Government or big-tech surveillance and misuse of data","Wait up to a few minutes longer,2–3 extra confirmations or screens,Signing multiple transactions",In my wallet,"Private by default, option to share",Very important,Very likely,"Private send in wallets,Privacy-preserving RPC and network routing,Encrypted mempools or private order flow",,make privacy by default,"Worm (EIP7503), Kohaku, web3privacy now","together in privacy, stronk"
Developer,Europe,"Rabby,Other",6-8 years,Daily,"Finance, payments and transfers,DeFi, lending, swaps, or staking",Very confident,"I rely on wallet security alerts and blocklists,I simulate or dry run transactions before sending,I review token approvals and revoke them regularly,I use a hardware wallet as my primary signer,I use a multisig or smart account",I don't care that much and i guess even most of the community do not care since they are using pseudonymous blockchains and authors made them pseudonymous by default,"Personal safety and security,Avoid profiling, doxxing, or unwanted linking,Avoid social judgment or harassment",Yes,No,Somewhat important,Satisfied,Very confident,Not at all confident,Some trust,"Clear website and language that explains what it does,Logical in-app UX with info and context,Referrals or endorsements from trusted people or orgs","Clear instructions and confirmation prompts,Simple explanation of risks, leaks and trade-offs,Transaction preview or simulation before sending",Never,Never,Never,Rarely,Never,Weekly,Weekly,Never,Never,,Daily,Rarely,Rarely,Daily,Weekly,Never,Daily,Daily,Daily,Never,"Complex or hard to use,High gas or transaction costs,Too few people use it, so privacy feels weak",,Never,,"Losing funds or access,Government or big-tech surveillance and misuse of data,Permanent onchain records that cannot be undone","Wait up to a few minutes longer,2–3 extra confirmations or screens,Lower compatibility with some dapps or tools",In my wallet,"Public by default, option to go private",Somewhat important,Likely,"Private send in wallets,Private stablecoins,Private governance and voting",,wormholes,kohaku,
Developer,Europe,"MetaMask,Rabby,Gnosis Safe",9+ years,Weekly,"Finance, payments and transfers,Work, salary or payroll,Running nodes or infrastructure",Very confident,"I review gas, nonce, and permissions before confirming,I decode and read what I am signing,I simulate or dry run transactions before sending,I use separate wallets for different activities or counterparties,I avoid linking social profiles to my active addresses,I use a hardware wallet as my primary signer,I use a multisig or smart account","The ultimate feeling of capture resistance and freedom, a refreshing feeling of independence deep inside","Keep balances, income, or holdings confidential,Avoid profiling, doxxing, or unwanted linking,Reduce data trails across apps and services",Yes,Yes,Very important,Not at all satisfied,Very confident,Somewhat confident,Some trust,"Widely used in production and time-tested,Open-source code,Strong security practices: active bug bounties, and policies","Clear instructions and confirmation prompts,Simple explanation of risks, leaks and trade-offs,Proofs or logs you can copy or share if you need to prove something later",Monthly,Rarely,Rarely,Rarely,Never,Never,Rarely,Rarely,Monthly,"Tornado Cash, privacypools.com, Gnosis VPN (in earliest internal test version)",Daily,Monthly,Daily,Daily,Monthly,Weekly,Daily,Monthly,Daily,Never,"Complex or hard to use,High gas or transaction costs,Too few people use it, so privacy feels weak",,Sometimes,"Unclear what it would do,Unsure the tool was safe or trustworthy,Took too long or got stuck","Losing funds or access,Metadata leakage (IP, RPC, browser, mempool),Government or big-tech surveillance and misuse of data","Wait up to a few minutes longer,2–3 extra confirmations or screens,Signing multiple transactions","I do not care where, I just want it to work","Private by default, option to share",Very important,Very likely,"Private send in wallets,Privacy-preserving RPC and network routing,Privacy risk and monitoring dashboards",,"Culture: transition from the current core dev consensus on goals being FASTER, MORE TVL, BIGGER to MORE RESILIENT. Everything else is downstream from that.","Shielded pools that are so easy to integrate that every wallet they I care about has them available, Gnosis VPN :)","People don't like to say it but a major reason for using privacy tools that you don't list as an option is ""afraid of the tax man"". This isn't just ""I want to dox taxes"" but there's really NO way that you can 100% correctly report your taxes as an even moderately active cross chain Ethereum user with only a dozen accounts. Everyone can make an example of you for ""doxxing taxes"" even though that wasn't your intent!"
